"Label","Value","StdDev","(Val-1.0)/Stddev","CumNorm"
"Bratio_1996","Bratio_1996",4.63089,0.409774,8.86072,1
"Bratio_1997","Bratio_1997",4.66331,0.416602,8.79331,1
"Bratio_1998","Bratio_1998",4.27181,0.385059,8.4969,1
"Bratio_1999","Bratio_1999",3.7447,0.338178,8.11613,1
"Bratio_2000","Bratio_2000",3.1119,0.282932,7.46435,1
"Bratio_2001","Bratio_2001",2.43854,0.223502,6.43634,1
"Bratio_2002","Bratio_2002",1.76787,0.163897,4.68509,0.999999
"Bratio_2003","Bratio_2003",1.18897,0.112288,1.68293,0.953806
"Bratio_2004","Bratio_2004",0.756521,0.0732481,-3.32403,0.000443695
"Bratio_2005","Bratio_2005",0.628118,0.0625198,-5.94823,1.35999e-09
"Bratio_2006","Bratio_2006",0.632678,0.0634049,-5.79328,3.46184e-09
"Bratio_2007","Bratio_2007",0.712142,0.0704274,-4.0873,2.18331e-05
"Bratio_2008","Bratio_2008",0.770679,0.0757122,-3.02885,0.0012275
"Bratio_2009","Bratio_2009",0.750677,0.0733036,-3.40124,0.00033546
"Bratio_2010","Bratio_2010",0.661266,0.0653949,-5.17983,1.11252e-07
"Bratio_2011","Bratio_2011",0.540692,0.0551999,-8.32081,4.41903e-17
"Bratio_2012","Bratio_2012",0.495865,0.0533546,-9.44878,1.74306e-21
"Bratio_2013","Bratio_2013",0.491378,0.0601423,-8.45699,1.38864e-17
"Bratio_2014","Bratio_2014",0.492892,0.0735337,-6.89627,2.68567e-12
"Bratio_2015","Bratio_2015",0.603294,0.0984418,-4.02985,2.79196e-05
"Bratio_2016","Bratio_2016",0.728619,0.130166,-2.08488,0.0185399
"Bratio_2017","Bratio_2017",0.903097,0.176425,-0.549259,0.291414
"Bratio_2018","Bratio_2018",1.07799,0.228292,0.341614,0.633679
"Bratio_2019","Bratio_2019",1.25663,0.287709,0.891981,0.813798
"Bratio_2020","Bratio_2020",1.31236,0.32734,0.954235,0.830018
"Bratio_2021","Bratio_2021",1.21317,0.324843,0.656214,0.744157
"Bratio_2022","Bratio_2022",1.17427,0.319694,0.545117,0.707164
"Bratio_2023","Bratio_2023",0.987834,0.290976,-0.041812,0.483324
"Bratio_2024","Bratio_2024",0.973815,0.322516,-0.0811886,0.467646
"Bratio_2025","Bratio_2025",0.984666,0.361169,-0.0424569,0.483067
"Bratio_2026","Bratio_2026",0.974187,0.501859,-0.0514357,0.479489
"Bratio_2027","Bratio_2027",0.946234,0.599874,-0.0896295,0.464291
"Bratio_2028","Bratio_2028",0.904913,0.691387,-0.13753,0.445306
"Bratio_2029","Bratio_2029",0.860931,0.778356,-0.17867,0.429098
"Bratio_2030","Bratio_2030",0.816537,0.864847,-0.212134,0.416001
"Bratio_2031","Bratio_2031",0.771525,0.954988,-0.239244,0.405458
"SSB_unfished","SSB_unfished",719599,75275.3,NA,NA
"Totbio_unfished","Totbio_unfished",760598,65938.8,NA,NA
"SmryBio_unfished","SmryBio_unfished",760598,65938.8,NA,NA
"Recr_unfished","Recr_unfished",647672,67751.2,NA,NA
"SSB_Btgt","SSB_Btgt",287839,30110.1,NA,NA
"SPR_Btgt","SPR_Btgt",0.436826,0.0584517,NA,NA
"Fstd_Btgt","Fstd_Btgt",0.405979,0.0963744,NA,NA
"Dead_Catch_Btgt","Dead_Catch_Btgt",74709.7,10170.4,NA,NA
"SSB_SPR","SSB_SPR",253431,40274.4,NA,NA
"Fstd_SPR","Fstd_SPR",0.471938,0.00437644,NA,NA
"Dead_Catch_SPR","Dead_Catch_SPR",74089.9,10974.7,NA,NA
"SSB_MSY","SSB_MSY",284497,71514.8,NA,NA
"SPR_MSY","SPR_MSY",0.433145,0.0743172,NA,NA
"Fstd_MSY","Fstd_MSY",0.412079,0.124479,NA,NA
"Dead_Catch_MSY","Dead_Catch_MSY",74716.7,10034.4,NA,NA
"Ret_Catch_MSY","Ret_Catch_MSY",74716.7,10034.4,NA,NA
"ForeCatch_2022","ForeCatch_2022",90815.4,25226.3,NA,NA
"ForeCatch_2023","ForeCatch_2023",63375.1,44012.1,NA,NA
"ForeCatch_2024","ForeCatch_2024",54659.8,35828.5,NA,NA
"ForeCatch_2025","ForeCatch_2025",57485.7,7714.36,NA,NA
"ForeCatch_2026","ForeCatch_2026",61482.5,10785.8,NA,NA
"ForeCatch_2027","ForeCatch_2027",65507.5,10309.2,NA,NA
"ForeCatch_2028","ForeCatch_2028",67420.3,10279.2,NA,NA
"ForeCatch_2029","ForeCatch_2029",68703.9,9888.44,NA,NA
"ForeCatch_2030","ForeCatch_2030",69889.8,9456.77,NA,NA
"ForeCatch_2031","ForeCatch_2031",70794.5,9310.41,NA,NA
"OFLCatch_2022","OFLCatch_2022",112039,30946.1,NA,NA
"OFLCatch_2023","OFLCatch_2023",80191.6,20529.3,NA,NA
"OFLCatch_2024","OFLCatch_2024",70938,11067.2,NA,NA
"OFLCatch_2025","OFLCatch_2025",71955.3,9837.24,NA,NA
"OFLCatch_2026","OFLCatch_2026",77061.2,13403.1,NA,NA
"OFLCatch_2027","OFLCatch_2027",81988.4,12840.4,NA,NA
"OFLCatch_2028","OFLCatch_2028",84327.6,12809,NA,NA
"OFLCatch_2029","OFLCatch_2029",85929.5,12308.2,NA,NA
"OFLCatch_2030","OFLCatch_2030",87404.5,11780.8,NA,NA
"OFLCatch_2031","OFLCatch_2031",88520.8,11608.2,NA,NA
"ln(SPB)_1992","ln(SPB)_1992",13.5199,0.0983781,NA,NA
"ln(SPB)_2006","ln(SPB)_2006",12.1124,0.0807869,NA,NA
"ln(SPB)_2021","ln(SPB)_2021",12.7634,0.259998,NA,NA
